"Interferer Name","Interferer ID"
"Satellite/LEOSAT1/Transmitter/LEO_Transmitter",0
"Satellite/LEOSAT2/Transmitter/LEO_Transmitter",1
"Satellite/LEOSAT3/Transmitter/LEO_Transmitter",2
"Satellite/LEOSAT4/Transmitter/LEO_Transmitter",3
"Satellite/LEOSAT5/Transmitter/LEO_Transmitter",4
"Satellite/LEOSAT6/Transmitter/LEO_Transmitter",5

"Time (UTCG)","Link To ID","IF Source ID","Interferer Name","Xmtr Power (dBW)","Xmtr Gain (dB)","EIRP (dBW)","Xmtr Azimuth - Phi (deg)","Xmtr Elevation - Theta (deg)","Range (km)","Rcvr Azimuth - Phi (deg)","Rcvr Elevation - Theta (deg)","Rcvd. Frequency (GHz)","Power At Rcvr Input (dBW)","Rcvr Gain (dB)","Rcvr NormGain","Rcvr Loss (dB)","Bandwidth Overlap (units)","Pwr Flux Density (dBW/m^2)","C/I (dB)","Pol. Rel. Angle (deg)","Polarization Effic (dB)","Free Space Loss (dB)","Atmos Loss (dB)","Rain Loss (dB)"
10 Aug 2024 02:54:15.000,0,4,"Satellite/LEOSAT5/Transmitter/LEO_Transmitter",15.000,1.2936,14.342,266.730,62.296,1299.175087,0.000,0.000,15.000,-163.901,0.0000,1.000000,178.2430,1.0000,-117.949393,11.1660,0.000,0.0000,178.2430,0.0000,0.0000
10 Aug 2024 02:55:15.000,0,1,"Satellite/LEOSAT2/Transmitter/LEO_Transmitter",15.000,3.0213,16.070,226.818,53.131,900.421051,0.000,0.000,15.000,-158.990,0.0000,1.000000,175.0585,0.9998,-113.016390,6.2547,0.000,0.0000,175.0585,0.0000,0.0000
10 Aug 2024 02:55:15.000,0,4,"Satellite/LEOSAT5/Transmitter/LEO_Transmitter",15.000,1.0702,14.119,248.367,63.591,1404.556159,0.000,0.000,15.000,-164.802,0.0000,1.000000,178.9204,0.9998,-118.836548,12.0674,0.000,0.0000,178.9204,0.0000,0.0000
10 Aug 2024 02:56:15.000,0,1,"Satellite/LEOSAT2/Transmitter/LEO_Transmitter",15.000,1.6228,14.671,209.383,60.435,1180.937188,0.000,0.000,15.000,-162.744,0.0000,1.000000,177.4141,0.9997,-116.759628,10.0092,0.000,0.0000,177.4141,0.0000,0.0000
10 Aug 2024 02:56:15.000,0,4,"Satellite/LEOSAT5/Transmitter/LEO_Transmitter",15.000,0.7576,13.806,234.168,65.449,1614.197558,0.000,0.000,15.000,-166.324,0.0000,1.000000,180.1287,0.9998,-120.347692,13.5887,0.000,0.0000,180.1287,0.0000,0.0000
10 Aug 2024 02:57:15.000,0,1,"Satellite/LEOSAT2/Transmitter/LEO_Transmitter",15.000,0.8709,13.919,200.461,64.769,1526.460157,0.000,0.000,15.000,-165.725,0.0000,1.000000,179.6433,0.9996,-119.735924,12.9905,0.000,0.0000,179.6433,0.0000,0.0000
10 Aug 2024 02:57:15.000,0,4,"Satellite/LEOSAT5/Transmitter/LEO_Transmitter",15.000,0.5146,13.563,224.070,66.929,1892.978520,0.000,0.000,15.000,-167.951,0.0000,1.000000,181.5125,0.9997,-121.968267,15.2157,0.000,0.0000,181.5125,0.0000,0.0000
10 Aug 2024 02:58:15.000,0,1,"Satellite/LEOSAT2/Transmitter/LEO_Transmitter",15.000,0.5097,13.558,195.294,66.960,1900.928379,0.000,0.000,15.000,-167.992,0.0000,1.000000,181.5489,0.9996,-122.000492,15.2574,0.000,0.0000,181.5489,0.0000,0.0000
10 Aug 2024 02:58:15.000,0,4,"Satellite/LEOSAT5/Transmitter/LEO_Transmitter",15.000,0.3792,13.428,216.963,67.769,2213.937059,0.000,0.000,15.000,-169.447,0.0000,1.000000,182.8729,0.9997,-123.460376,16.7116,0.000,0.0000,182.8729,0.0000,0.0000
10 Aug 2024 02:59:15.000,0,1,"Satellite/LEOSAT2/Transmitter/LEO_Transmitter",15.000,0.3627,13.411,191.980,67.873,2289.081455,0.000,0.000,15.000,-169.753,0.0000,1.000000,183.1628,0.9996,-123.760417,17.0184,0.000,0.0000,183.1628,0.0000,0.0000
10 Aug 2024 02:59:15.000,0,4,"Satellite/LEOSAT5/Transmitter/LEO_Transmitter",15.000,0.3374,13.386,211.861,68.031,2560.123572,0.000,0.000,15.000,-170.750,0.0000,1.000000,184.1348,0.9996,-124.761925,18.0155,0.000,0.0000,184.1348,0.0000,0.0000
10 Aug 2024 04:03:00.000,0,5,"Satellite/LEOSAT6/Transmitter/LEO_Transmitter",15.000,0.3373,13.386,58.578,68.031,2575.326705,0.000,0.000,15.000,-170.801,0.0000,1.000000,184.1863,0.9998,-124.828068,18.0663,0.000,0.0000,184.1863,0.0000,0.0000
10 Aug 2024 04:04:00.000,0,5,"Satellite/LEOSAT6/Transmitter/LEO_Transmitter",15.000,0.3495,13.398,66.687,67.955,2372.450469,0.000,0.000,15.000,-170.076,0.0000,1.000000,183.4736,0.9998,-124.108787,17.3413,0.000,0.0000,183.4736,0.0000,0.0000
10 Aug 2024 04:05:00.000,0,5,"Satellite/LEOSAT6/Transmitter/LEO_Transmitter",15.000,0.3764,13.425,76.209,67.787,2225.350166,0.000,0.000,15.000,-169.493,0.0000,1.000000,182.9176,0.9999,-123.533007,16.7581,0.000,0.0000,182.9176,0.0000,0.0000
10 Aug 2024 04:06:00.000,0,5,"Satellite/LEOSAT6/Transmitter/LEO_Transmitter",15.000,0.3984,13.447,86.848,67.650,2146.347256,0.000,0.000,15.000,-169.157,0.0000,1.000000,182.6036,1.0000,-123.205320,16.4218,0.000,0.0000,182.6036,0.0000,0.0000
